sumo_type,sumo_id,matsim_type,matsim_id,mapping_method
junction,1041208313,node,1041208313,Exact ID
junction,104227011,node,104227011,Exact ID
junction,104306737,node,104306737,Exact ID
junction,1044621591,node,1044621591,Exact ID
junction,1044777806,node,1044777806,Exact ID
junction,1045826333,node,1045826333,Exact ID
junction,1051048637,node,1051048637,Exact ID
junction,1054891928,node,1054891928,Exact ID
junction,1056664944,node,33363946,Spatial Nearest
junction,10570022720,node,28205966,Spatial Nearest
junction,10570022724,node,28205968,Spatial Nearest
junction,1057024972,node,1057024972,Exact ID
junction,105789413,node,105789413,Exact ID
junction,10647229875,node,259059631,Spatial Nearest
junction,1065621440,node,1065621440,Exact ID
junction,1067804966,node,1067804966,Exact ID
junction,1068931777,node,1068931777,Exact ID
junction,1068931778,node,1068931778,Exact ID
junction,10691172541,node,100154846,Spatial Nearest
junction,10691172545,node,100154846,Spatial Nearest
junction,10691172554,node,273470376,Spatial Nearest
junction,10691172573,node,273470376,Spatial Nearest
junction,10691187320,node,100154846,Spatial Nearest
junction,1069490617,node,1069490617,Exact ID
junction,1069490681,node,1069490681,Exact ID
junction,1071545563,node,1071545563,Exact ID
junction,1072291527,node,1072291527,Exact ID
junction,1072291535,node,1072291535,Exact ID
junction,10723557064,node,1650894989,Spatial Nearest
junction,10723557079,node,28096705,Spatial Nearest
junction,107274447,node,107274447,Exact ID
junction,107298813,node,107298813,Exact ID
junction,107305055,node,107305055,Exact ID
junction,107315253,node,107315253,Exact ID
junction,1075544310,node,1075544310,Exact ID
junction,10771449642,node,270183178,Spatial Nearest
junction,10771449671,node,270183178,Spatial Nearest
junction,10771449699,node,270183178,Spatial Nearest
junction,10771449700,node,270183178,Spatial Nearest
junction,10772403087,node,1246065169,Spatial Nearest
junction,1080169040,node,1080169040,Exact ID
junction,10814049937,node,100154846,Spatial Nearest
junction,1082090832,node,1082090832,Exact ID
junction,1082678863,node,1082678863,Exact ID
junction,108321633,node,108321633,Exact ID
junction,108323693,node,108323693,Exact ID
junction,108323705,node,108323705,Exact ID
junction,108324415,node,108324415,Exact ID
