from_node,to_node,travel_time
26785772,26785774,1
26785772,26708454,67
26785772,26785789,44
26785774,26785772,1
26785774,26745961,22
26785788,26785789,1
26785788,26785774,44
26785789,26785790,1
26785789,21487105,21
26785790,26785791,1
26785790,2296386929,10
26785791,26785788,1
26785791,250055663,156
26785792,26785796,20
26785792,26784970,43
26785796,21487105,1
26785796,26785790,20
26787053,26708504,29
26787933,26787053,41
26787933,26763861,15
26787934,601409797,14
26787963,26763044,3
26787963,26787965,13
26787965,26787963,13
26787965,26762979,8
26787978,20246271,2
26787978,1560791805,6
26788842,21487246,15
26806097,26739129,111
26806097,26624548,168
26838117,602244726,0
26839931,26745939,12
26868066,26868067,1
26868066,26708459,29
26868067,16541471,1
26868067,26904542,39
26903229,267980715,3
26903229,364309968,65
26904542,26904559,2
26904543,16541474,4
26904543,26904547,7
26904547,26904552,3
26904547,26904555,7
26904552,16541474,4
26904555,16541478,36
26904555,26904552,10
26904555,26904547,7
26904559,11426958630,0
26904559,26745960,39
26938187,802800009,0
26938187,21487144,11
26943818,213227878,61
26943818,16541465,1
26943821,16541464,0
26943821,5257308487,19
26943854,213227878,10
26944215,26731237,28
27501680,26739108,6
27501680,5313873458,133
27559635,27559636,1
27559635,27559689,62
27559636,27587405,2
27559636,16541457,2
27559689,27559692,18
27559689,27559636,62
27559692,250055663,0
27559692,27559689,18
27559692,26785788,156
27560124,16541461,4
27560124,16541464,51
27587405,16541457,3
27587405,16541461,47
27603959,26624556,0
29030447,267046792,42
29030447,16541478,8
29030458,29030447,4
29030467,156869073,8
29030467,16541483,17
29030468,26745957,0
29272980,29030458,8
29272980,16541465,85
29272980,282763131,6
29831527,20246271,0
29831527,26787978,2
30427948,30427949,3
30427949,30427952,0
30427949,30427951,6
30427951,30427952,6
30427951,26682534,18
30427952,26784424,1
30736688,26750462,1
30736688,26682534,74
30736688,26662466,31
156869073,16541486,0
156869073,29030468,4
197381698,26761245,4
197381698,3666634604,17
213227878,26943854,10
213227878,26943818,61
250055663,27559692,0
251106770,26662404,119
251106770,21487143,3
254336400,678884838,0
254336400,26761227,21
254990838,602232361,2
254990838,602244739,22
256724098,27559635,2
263125693,26751315,1
263125693,26751257,23
267046792,16541483,19
267046792,29030447,42
267980715,675602656,0
268107482,26745992,5
268107482,16541488,34
268111126,26839931,2
270182847,26624530,22
270182848,26708501,26
270182848,26743960,2
272427526,272427530,2
272427526,26731232,2
272427530,26787053,22
282763131,16541478,0
282763131,29272980,6
282763131,29030458,3
312215682,26682643,1
312215682,26743963,23
364309968,26938187,1
364309968,26903229,65
401899514,16541488,37
401899514,26905529,4
527332338,16541467,1
527332338,256724098,71
538599447,26740515,6
538599447,27603959,32
601409794,601409797,0
601409794,26787933,14
601409797,601409794,0
601409797,26731248,31
602232361,26646224,11
602232362,602232361,0
602232362,254990838,3
602232364,26646224,0
602232364,602232362,11
602232365,602232364,2
602232365,26624548,55
602244712,602244728,1
602244712,26739127,29
602244726,602244728,0
602244726,602244712,1
602244728,602244733,0
602244733,26838117,0
602244733,602244739,3
602244739,26838117,3
602244739,254990838,22
675602656,267980715,0
675602656,26903229,2
678884838,254336400,0
678884838,197381698,2
802800009,26938187,0
802800009,364309968,1
835558089,27501680,6
935612264,1189251454,0
935612264,26729487,27
1083647948,1083648409,0
1083647948,26642107,160
1083648409,1083647948,0
1083648409,26739109,6
1092585666,26745971,5
1092585666,16541471,4
1189251454,935612264,0
1189251454,26738439,3
1560791805,26762983,2
1560791805,26787978,6
1560792391,21487146,5
1560792391,26763048,70
1753097278,10561958880,1
1753097278,1753097282,0
1753097282,527332338,11
1882209726,5496911313,5
1882209726,3229469783,22
2296386929,26785791,10
2306718621,26743963,2
2306718621,26743960,46
3229469783,26761220,31
3229469783,1882209726,22
3666634602,26761245,21
3666634604,3666634602,0
3666634604,26761221,15
4782393069,4782393070,1
4782393069,26736196,58
4782393070,4782393069,1
4782393070,26708454,1
5074020157,26731192,8
5257308487,5257308490,1
5257308487,26943818,16
5257308490,5257308487,1
5257308490,16541464,19
5313873458,26736505,11
5496911310,26763065,3
5496911310,26734491,45
5496911312,26704508,0
5496911312,5496911313,9
5496911313,1882209726,5
5496911313,5496911312,9
9052311226,1753097282,2
9052311226,1753097278,2
9072528195,254336400,6
9072528195,197381698,4
10561958880,16541468,10
11165604712,26646260,6
11165604712,26736225,36
11188100344,11165604712,5
11426958630,1753097278,2
11426958630,10561958880,3
