id,x,y
484078,13.2953708,52.5396172
484121,13.2948929,52.5396362
16541457,13.2606308,52.5162188
16541461,13.2502624,52.5156307
16541464,13.2404671,52.5119682
16541465,13.2422722,52.5075329
16541467,13.2711423,52.5100401
16541468,13.2715418,52.5097265
16541469,13.2726912,52.50884
16541471,13.2802152,52.506368
16541474,13.2716159,52.5090363
16541478,13.2611617,52.5086784
16541483,13.267088,52.5009116
16541486,13.2712059,52.4990539
16541488,13.2735397,52.4998976
20246271,13.3340041,52.5053923
20246276,13.3024311,52.5067252
21487101,13.2994926,52.5197046
21487105,13.2829001,52.5184999
21487141,13.2819066,52.5100847
21487142,13.3207941,52.5127285
21487143,13.3209699,52.5129232
21487144,13.321936,52.5132003
21487145,13.3228117,52.5129021
21487146,13.3226484,52.5121802
21487148,13.3226683,52.5130228
21487168,13.3228549,52.5123626
21487246,13.3322968,52.4952992
21487260,13.2810832,52.476817
26624521,13.3201878,52.4837354
26624530,13.3096064,52.4939125
26624540,13.3140195,52.4904187
26624548,13.2851227,52.4939593
26624556,13.3203182,52.4864394
26627364,13.3283348,52.4786346
26627365,13.3282697,52.4787743
26627372,13.3132,52.4804532
26627429,13.3129928,52.480577
26629160,13.2808092,52.4768201
26642106,13.3129658,52.5006807
26642107,13.3079438,52.4884719
26642108,13.3078617,52.4886213
26642117,13.3099923,52.4935653
26642118,13.3082071,52.4875549
26646224,13.2844162,52.4867504
26646260,13.3202561,52.4788196
26662395,13.3016298,52.5113585
26662404,13.2996776,52.5197098
26662457,13.2941723,52.534259
26662466,13.2940359,52.5341512
26682534,13.3065288,52.5288363
26682574,13.3311934,52.4874035
26682582,13.3226123,52.4864177
26682583,13.3205049,52.4864191
26682630,13.3141989,52.4903051
26682636,13.3069319,52.4998942
26682640,13.3050616,52.5026641
26682643,13.3068748,52.5000461
26682651,13.3143988,52.4903691
26682654,13.3224051,52.4864104
26682655,13.322411,52.4865293
26682656,13.3226092,52.4865291
26682657,13.3204491,52.486536
26704061,13.3314895,52.5052505
26704067,13.3323267,52.5062787
26704508,13.3165209,52.4995564
26704511,13.3150237,52.5008395
26704513,13.3150483,52.5010001
26704514,13.313162,52.500547
26704515,13.313127,52.5000024
26704550,13.3118937,52.500425
26704560,13.3309322,52.5005442
26704776,13.3355364,52.4993867
26708454,13.2891879,52.5105556
26708455,13.2892388,52.5103917
26708459,13.2819246,52.5099327
26708460,13.3016596,52.5111709
26708489,13.3305706,52.4950964
26708501,13.3072024,52.4999336
26708504,13.3286563,52.480688
26729471,13.3127251,52.4804443
26729472,13.3202484,52.4787331
26729487,13.3129361,52.4803268
26729491,13.3203671,52.4836432
26729524,13.3101187,52.493451
26731191,13.3080431,52.4886694
26731192,13.3081251,52.4885229
26731232,13.3311819,52.4872872
26731233,13.3307932,52.4872302
26731237,13.3311447,52.4840816
26731246,13.3304968,52.4954023
26731247,13.3310786,52.4954203
26731248,13.3310431,52.495143
26731297,13.311859,52.5005665
26734489,13.3142288,52.4904849
26734491,13.3103198,52.494063
26734554,13.2858555,52.4947598
26734555,13.2857786,52.4946593
26734558,13.2855638,52.4950194
26734559,13.2853051,52.4947429
26736127,13.3021943,52.5068301
26736159,13.3023968,52.5068236
26736160,13.3022252,52.5067289
26736196,13.301495,52.5111599
26736197,13.3014604,52.5113476
26736225,13.3203779,52.4829056
26736227,13.3202245,52.4836023
26736505,13.3082442,52.477846
26736516,13.3082959,52.4770645
26738438,13.3063425,52.4769529
26738439,13.3081365,52.4779194
26739108,13.2816355,52.4763976
26739109,13.2809524,52.4769112
26739110,13.2809396,52.4767204
26739125,13.2807169,52.477395
26739127,13.2808897,52.4781755
26739129,13.2805167,52.4774245
26740507,13.3100598,52.4936803
26740508,13.3101778,52.4935745
26740515,13.3147614,52.4900309
26740525,13.3097537,52.4931191
26743960,13.3080075,52.4968951
26743963,13.3052074,52.5027124
26745939,13.2792415,52.5034958
26745957,13.2721756,52.498803
26745960,13.2816919,52.5099163
26745961,13.2816742,52.5100703
26745970,13.2790046,52.5036716
26745971,13.2800254,52.5060122
26745972,13.2804409,52.506349
26745975,13.2792817,52.5035997
26745992,13.2789547,52.5035321
26750462,13.2956775,52.5303811
26750505,13.2997982,52.5213681
26750531,13.2975334,52.5345863
26750538,13.2940232,52.5346613
26750541,13.2973451,52.534444
26751256,13.3287068,52.4786292
26751257,13.3288155,52.4787837
26751262,13.3203399,52.4837807
26751315,13.3336526,52.4784934
26761220,13.3307564,52.5004152
26761221,13.3309087,52.5004211
26761223,13.3352144,52.4993054
26761224,13.3354272,52.4992696
26761226,13.3343416,52.4985582
26761227,13.334454,52.4984648
26761232,13.3353414,52.4994217
26761245,13.3304502,52.4958517
26762956,13.3314464,52.5039168
26762962,13.3325405,52.5061781
26762967,13.3316867,52.5052411
26762974,13.3324319,52.5060869
26762979,13.331418,52.5037526
26762983,13.3317261,52.505337
26763000,13.334104,52.5054827
26763003,13.3131682,52.5007097
26763011,13.3165163,52.499475
26763044,13.330781,52.5005394
26763048,13.3322149,52.5061808
26763054,13.3312345,52.5038748
26763057,13.33121,52.50371
26763065,13.3130768,52.4998985
26763067,13.3315381,52.5053474
26763077,13.3129018,52.4999788
26763086,13.3129486,52.5005231
26763861,13.3307904,52.4873421
26784424,13.3061963,52.5256779
26784426,13.2982616,52.5242759
26784543,13.2938844,52.5347107
26784546,13.2933735,52.5346768
26784555,13.2934652,52.5340985
26784928,13.2997097,52.5195077
26784929,13.2995282,52.5195435
26784970,13.2906007,52.519053
26785750,13.2932006,52.5345596
26785751,13.2932402,52.534208
26785753,13.3208987,52.5123241
26785772,13.2815352,52.5128351
26785774,13.2813148,52.5128227
26785788,13.2800891,52.5183221
26785789,13.2803251,52.5183398
26785790,13.2803027,52.5184685
26785791,13.2800698,52.5184524
26785792,13.2853253,52.5187406
26785796,13.2828492,52.5186271
26787053,13.330918,52.4841473
26787933,13.3308575,52.4892745
26787934,13.3310688,52.4892912
26787963,13.3309332,52.5010185
26787965,13.3312045,52.5026709
26787978,13.3335507,52.5052113
26788842,13.3353893,52.4950272
26806097,13.2657911,52.483391
26838117,13.281103,52.4821732
26839931,13.2805591,52.5023089
26868066,13.2805298,52.506501
26868067,13.2803086,52.5065284
26903229,13.3285488,52.5219326
26904542,13.2735513,52.5089922
26904543,13.2714481,52.509551
26904547,13.2700512,52.5092045
26904552,13.2707152,52.5091731
26904555,13.2685527,52.5091332
26904559,13.2737273,52.5093291
26905529,13.2762703,52.4990955
26938187,13.3223287,52.5145348
26943818,13.2420319,52.5075197
26943821,13.2403016,52.5118972
26943854,13.2273493,52.5069132
26944215,13.328924,52.4808608
27501680,13.2824598,52.4757859
27559635,13.2604528,52.5166219
27559636,13.260208,52.5164847
27559689,13.2514886,52.5220304
27559692,13.249364,52.523852
27560124,13.2493683,52.515349
27587405,13.2599576,52.5161768
27603959,13.3202313,52.486541
29030447,13.2615167,52.5077092
29030458,13.2610635,52.5082234
29030467,13.2696081,52.4994134
29030468,13.2720815,52.4987229
29272980,13.259656,52.5085918
29831527,13.333861,52.50544
30427948,13.3068966,52.5257198
30427949,13.3062003,52.5257699
30427951,13.3061806,52.5265917
30427952,13.3059954,52.5257683
30736688,13.295973,52.5304212
156869073,13.2711541,52.4989749
197381698,13.3309221,52.496354
213227878,13.2293799,52.5067378
250055663,13.2494339,52.5239546
251106770,13.3216014,52.5131843
254336400,13.3314339,52.4965296
254990838,13.2837409,52.4850039
256724098,13.260839,52.5163553
263125693,13.3336667,52.4787296
267046792,13.2656084,52.5032152
267980715,13.3285362,52.5223292
268107482,13.2778937,52.5033217
268111126,13.2808745,52.5020497
270182847,13.3080326,52.496545
270182848,13.3082064,52.4966355
272427526,13.3311843,52.4870168
272427530,13.3308003,52.4870088
282763131,13.2610064,52.5086695
312215682,13.3071494,52.5000976
364309968,13.3225101,52.5147005
401899514,13.2759752,52.4994261
527332338,13.2713599,52.5101654
538599447,13.3155186,52.4894299
601409794,13.3308065,52.4911474
601409797,13.330994,52.4911477
602232361,13.2841283,52.4852891
602232362,13.2840806,52.4853632
602232364,13.2842832,52.4867614
602232365,13.2843907,52.4870311
602244712,13.281166,52.4818537
602244726,13.2811056,52.482092
602244728,13.2812292,52.4820746
602244733,13.2812426,52.4821643
602244739,13.2812267,52.4826391
675602656,13.3283793,52.5222687
678884838,13.3313374,52.4965904
802800009,13.3225201,52.5145035
835558089,13.2815369,52.4762763
935612264,13.3087277,52.4781102
1083647948,13.2819928,52.4774139
1083648409,13.2818522,52.4774993
1092585666,13.2792993,52.5064713
1189251454,13.3086146,52.4781843
1560791805,13.3322481,52.5052733
1560792391,13.3215397,52.5120215
1753097278,13.2737351,52.509669
1753097282,13.2736348,52.5097681
1882209726,13.3197186,52.4997095
2296386929,13.2800917,52.5197331
2306718621,13.3053464,52.5024397
3229469783,13.3243724,52.4999841
3336866734,13.283135,52.5180052
3666634602,13.3306333,52.4985341
3666634604,13.3307807,52.4985358
4782393069,13.2895489,52.5104108
4782393070,13.2895196,52.5105762
5074020157,13.3084597,52.4874979
5257308487,13.2412416,52.509514
5257308490,13.2414529,52.5095455
5313873458,13.3064654,52.4768724
5496911310,13.312785,52.4995396
5496911312,13.3167151,52.4995283
5496911313,13.3186082,52.4996454
9052311226,13.2741496,52.5096192
9072528195,13.331095,52.4958095
10561958880,13.2734654,52.5097011
11165604712,13.3203253,52.4792926
11188100344,13.3203647,52.4787322
11426958630,13.2737303,52.5093353
